ID;title;description;content;item_from;item_type;item_source;permalink;tags;"ClassificaÁ„o da Obra";;"Tipo de Materia";"Ano de PublicaÁ„o";Autor;Ilustrador;Tradutor;EdiÁ„o;Editora;"SÈrie (ColeÁ„o)";"Local de PublicaÁ„o";ISBN/ISSN;"N˙mero de P·ginas";Resenha;Volume;PremiaÁ„o;Files
141;"Miss„o : assustar a irm„";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=141;;;;;;;;;;"Melhorament os";;;"85-06-03783-
2";;;;;
142;"O castelo dos horrores";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=142;;;;;;;;;;"Melhorament os";;;"85-06-04027-
4";;;;;;
143;"FÈrias no hotel sepulcro";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=143;;;;;;;;;;"Melhorament os";;;"85-06-03782-
4";;;;;;
144;"Um esqueleto no avi„o";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=144;;;;;;;;;;"Melhorament os";;;"85-06-04026-
4";;;;;;
145;"Lobo-guar·, o solit·rio";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=145;;;;;;;;;;Scipione;;;"85-262-1996-
0";;;;;;
146;"De olho na ·gua";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=146;;;;;;;;;;Cata-Sonho;;;"85-86139-06-
08";;;;;;
147;"Mundo novo";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=147;;;;;;;;;;Seguinte;;;"978-85-
6576547-3";;;;;;
148;"Cadeira de piolho";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=148;;;;;;;;;;"Nova Fronteira";;;;;;;;;
149;"A fada enfadada";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=149;;;;;;;;;;FTD;;;;;;;;;
150;"VovÙ legal e a viagem encantada: Fernando de Noronha no mundo infantil";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=150;;;;;;;;;;Baga√ßo;;;8574096156;;;;;;
151;"Coisas do folclore";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=151;;;;;;;;;;Cortez;;;"85-249-0988-
9";;;;;;
152;"HistÛria de Mix, Max e Mex.";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=152;;;;;;;;;;"Companhia das Letrinhas";;;"9788574066
233";;;;;;
153;"Um problema atr·s do outro";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=153;;;;;;;;;;Minguilim;;;"85-7442-009-
3";;;;;;
154;"Bichos do Cerrado";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=154;;;;;;;;;;"Editora do Brasil";;;"85-10-02536-
3";;;;;;
155;"Conversa vai, conversa vem";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=155;;;;;;;;;"2. ed.";Moderna;;;"85-16-00626-
3";;;;;;
156;"Quando eu era menino";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=156;;;;;;;;;;Paulinas;;;"85-356-0278- X";;;;;;
157;"IdÈia Maluca";"Autor: Vasconcellos, Cecilia Castanha, Marilda Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=157;;;;;;;;;"3. ed.";Ediouro;;;8500927976;;;;;;
158;"HistÛrias de avÙ e avÛ";"Autor: Nestrovski, Arthur EugÍnia, Maria Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=158;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
011-9";;;;;;
159;"Baleia de rio";"Autor: Muylaert, Anna, Reis, Miguel Mendes, Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=159;;;;;;;;;;"Melhorament os";;;"978-85-06-
07141-0";;;;;;
160;"Seu zangado";"Autor: Harqreaves, Roger, de Aquino, Gilda Ano:  1996,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=160;;;;;;;;;;"Brinque- Book";;;"85-85357-53-
3";;;;;;
161;"Capitolina: o poder das garotas.";"Autor: Browne, Clara PiÒeiro, Lorena Soter, Sofia Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=161;;;;;;;;;;Seguinte;;;"978-85-
65765-84-8";;;;;;
162;"HistÛrias da BÌblia";"Autor: Carrasco, Walcyr, Johnson, Mariana Ruiz, Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=162;;;;;;;;;;Moderna;;;"978-85-16-
09599-4";;;;;;
163;"Pai? Eu?!";"Autor: Martinelli, T‚nia Alexandre Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=163;;;;;;;;;;Atual;;;"85-357-0375-
6";;;;;;
164;"Raul da ferrugem azul";"Autor: Machado, Ana Maria FarÌa, Rosana Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=164;;;;;;;;;"2. ed.";Moderna;;;"85-16-03481-
x";;;;;;
165;"Meu Cofrinho, Meu Futuro: educaÁ„o financeira";"Autor:  Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=165;;;;;;;;;;Caramelo;;;"978-85-7340-
706-8";;;;;;
166;"TrÍs amigos: o despertador";"Autor: Heine, Helme Ano:  1983,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=166;;;;;;;;;;√Åtica;;;"85-08-05475-
0";;;;;;
167;"Eu Produzo Menos Lixo!";"Autor: Santos, Cristina, Veld, Freekje, Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=167;;;;;;;;;;Cortez;;;"978-85-249-
2326-5";;;;;;
168;"CoraÁ„o de M„e: uma mensagem de amor para a mulher mais importante da sua vida";"Autor: Wierzchowski, Leticia, Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=168;;;;;;;;;;Agir;;;"978-
852203122-1";;;;;;
169;"A esperanÁa por um fio";"Autor: Braff, Menalton Brand„o, L˙cia Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=169;;;;;;;;;;√Åtica;;;"85-08-08675-
x";;;;;;
170;"A histÛria de Lalo";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=170;;;;;;;;;"8. ed.";Saraiva;;;"85-02-03817-
6";;;;;;
171;"Salvem a professora!";"Autor: Castro, Maria da GlÛria Cardia de
Melo, Roberto Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=171;;;;;;;;;;Elementar;;;"85-88044-10-
2";;;;;;
172;PÈtalas;"Autor: Borges, Gustavo, Peter, Cris Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=172;;;;;;;;;;"Jupati Books";;;"978-85-
68156-18-6";;;;;;
173;"Terra dos meninos pelados";"Autor: Ramos, Graciliano, Mello, Roger, Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=173;;;;;;;;;;Record;;;"85-01-05454-
2";;;;;;
174;"Piada com verso e conversa fiada";"Autor: Martins, Cl·udio Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=174;;;;;;;;;;"Gera√ß√£o Editorial,";;;"85-86028-91-
6";;;;;;
175;Bach;"Autor: Obiols, Anna Subi
Machado, Luciano Vieira Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=175;;;;;;;;;;"Panda Books,";;;"978-85-7888-
089-7";;;;;;
176;"O paÌs das 36 mil vontades";"Autor: Maurois, AndrÈ Laurabeatriz
Almada, Marcelo Dias Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=176;;;;;;;;;;Caramelo,;;;"85-7340-298-
9";;;;;;
177;"O Inspetor Geral";"Autor: GÛgol, Nicolau Orthof, Sylvia Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=177;;;;;;;;;;"Editora Scipione";;;"85-262-1167-
6";;;;;;
178;"Tem fantasma na rua!";"Autor: Martins, Cl·udio Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=178;;;;;;;;;;FTD,;;;"85-322-4303-
7";;;;;;
179;"O fant·stico";"Autor: Rodrigues, Selma Calasans Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=179;;;;;;;;;;√Åtica,;;;"978-85-0802-
902-0";;;;;;
180;"Coisas do coraÁ„o";"Autor: Neves, LibÈrio, Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=180;;;;;;;;;;Miguilim;;;"85-7442-045- X";;;;;;
